eligibility_rule_id,cycle_id,external_applicants_status,citizenship_rule_text,citizenship_us_citizen,citizenship_permanent_resident,citizenship_international,eligible_years_text,first_year_eligible,sophomore_eligible,junior_eligible,senior_eligible,graduating_senior_eligible,min_gpa,enrolled_required,graduation_rule_text,institution_type_rule_text,two_year_institution_eligible,four_year_institution_eligible,degree_seeking_required,prior_research_status,raw_eligibility_text,other_rule_text,parse_status
11,11,yes,U.S. citizen or permanent resident,1,1,0,Undergraduate; â‰¥2 semesters completed; â‰¥1 semester remaining after summer,1,1,1,1,0,3.0,1,At least one undergraduate semester must remain after the summer experience.,,,,1,unknown,U.S. citizen or permanent resident; enrolled in a degree-granting program at a U.S. or territorial college or university; cumulative GPA 3.0 or higher; at least two semesters completed by summer and at least one semester remaining afterward; strong interest in a Ph.D.,At least two undergraduate semesters completed by summer; GPA >= 3.0; committed interest in Ph.D. study; full-time participation required.,reviewed
12,12,yes,U.S. citizen or permanent resident,1,1,0,Undergraduate; â‰¥2 semesters completed; â‰¥1 semester remaining after summer,1,1,1,1,0,3.0,1,At least one undergraduate semester must remain after the summer experience.,,,,1,unknown,U.S. citizen or permanent resident; enrolled in a degree-granting program at a U.S. or territorial college or university; cumulative GPA 3.0 or higher; at least two semesters completed by summer and at least one semester remaining afterward; strong interest in a Ph.D.,At least two undergraduate semesters completed by summer; GPA >= 3.0; committed interest in Ph.D. study; full-time participation required.,reviewed
13,13,yes,U.S. citizen or lawful permanent resident,1,1,0,Undergraduates and qualifying recent graduates; see DOE eligibility rules,1,1,1,1,1,3.0,0,"Associate's, bachelor's, and combined BS/MS graduates may qualify when the degree-to-start interval is no more than two years.",,1,1,,unknown,"U.S. citizen or lawful permanent resident; age 18 or older; full-time undergraduate at an accredited community, two-year, or four-year institution with at least one matriculated semester, 6 STEM credits, 12 total credits, and cumulative GPA 3.0; qualifying recent graduates within two years are also eligible.",Age >= 18; at least one matriculated semester; >= 6 STEM and >= 12 total undergraduate credits; GPA >= 3.0; participation and application limits apply.,reviewed
14,14,yes,U.S. citizen or permanent resident,1,1,0,"College, graduate, and professional students; undergraduates eligible",1,1,1,1,1,,1,Graduating undergraduates may qualify when accepted into an accredited graduate program for fall.,,1,1,,unknown,"U.S. citizen or permanent resident; at least age 18 by the stated cycle date, with a limited nearby-campus exception for some graduating high-school seniors; enrolled at least half-time in an accredited community college, college, university, graduate, or professional program, or accepted into an accredited graduate program for fall.",Permanent residents must attend or be accepted by a U.S. educational institution; full-time summer research schedule.,reviewed
15,15,yes,U.S. citizen,1,0,0,College students; project-specific requirements,1,1,1,1,1,3.0,0,Recent graduates may apply for the three internship sessions immediately following graduation.,,,,1,unknown,U.S. citizen; cumulative GPA 3.0; at least age 16; full- or part-time college student in a degree-granting program at a U.S. Department of Education accredited institution. Recent graduates may apply for internships in the three sessions immediately following graduation.,Age >= 16; GPA >= 3.0; course of study must align with NASA needs.,reviewed
16,16,yes,See NIST cycle eligibility,1,1,0,Undergraduate; cycle-specific,1,1,1,1,1,,1,,,1,1,,unknown,U.S. citizen or permanent resident; full-time undergraduate at an accredited U.S. two-year or four-year college; first-year undergraduates and graduating seniors are eligible; age 18 or older; background check and health insurance required.,"Age >= 18; background check, health insurance, direct deposit, and full-time participation required.",reviewed
17,17,yes,U.S. citizen; permanent residents considered at some labs,1,1,0,"Sophomore, junior, senior, and graduate students in relevant majors",0,1,1,1,1,,1,,,,,,unknown,"U.S. citizen, with permanent resident status considered at some laboratories; sophomore, junior, senior, or graduate student enrolled at a participating university in a major relevant to participating laboratory research.",Permanent-resident eligibility is laboratory-specific; new undergraduate stipend tier expects at least 31 credits by the end of spring.,reviewed
18,18,yes,Enrollment-based eligibility; applicants from eligible North American/British/Irish universities,1,1,1,Undergraduates in qualifying degree programs; generally â‰¥2 years completed by internship,0,1,1,0,0,,1,Must maintain undergraduate status after the internship.,,,1,1,unknown,"Undergraduate in a four-year program at a U.S., Canadian, U.K., or Irish institution in an eligible field; at least two years of the degree completed by the internship; must retain undergraduate status afterward. International students must have studied at an eligible institution for more than 12 months by the deadline.",Eligible institution countries and fields apply; international students need >12 months at an eligible institution; special six-year residence rule for German citizens.,reviewed
19,19,yes,See current Leadership Alliance eligibility,1,1,0,Undergraduates; host and program rules apply,1,1,1,1,0,,1,At least one undergraduate semester must remain at the start of the summer program.,,,,1,unknown,"Documented U.S. citizen, non-citizen national, or permanent resident; full-time enrollment at an accredited U.S. or territorial college or university; GPA 3.0 or better; at least two semesters completed and one undergraduate semester remaining by summer; committed interest in Ph.D. or MD-Ph.D. study.","GPA >= 3.0; intended for Ph.D. or MD-Ph.D., not professional-practice degrees.",reviewed
20,20,yes,U.S. citizen or permanent resident,1,1,0,Four-year college students enrolled the following fall; preference for sophomores/juniors,,1,1,,0,,1,Must be enrolled in a four-year college in the fall after the program; graduating seniors are ineligible.,,0,1,1,not_required,"U.S. citizen or permanent resident; enrolled in a four-year college for the fall after the program; graduating seniors ineligible. Prior research is not required, with preference for students who completed sophomore or junior year.","Preference, not a hard requirement, for students who completed sophomore or junior year; full 10-week commitment.",reviewed
21,21,yes,International students eligible; see current application rules,1,1,1,College sophomores and juniors,0,1,1,0,0,,1,,,,,,not_required,College sophomores and juniors in the life or physical sciences; international students are eligible.,,reviewed
22,22,yes,Students worldwide eligible,1,1,1,Undergraduates; current eligibility rules apply,1,1,1,0,0,,1,Must return to an undergraduate degree program after summer.,,,,1,not_required,"Current sophomores and juniors are eligible; exceptional first-year students with prior independent research may be considered; participants must return to an undergraduate degree program after summer. Students of any nationality may apply, subject to stated U.S.-institution or partner-institution rules for international students.",First-year eligibility is exceptional and requires prior independent research; international eligibility depends on institution/partner conditions.,reviewed
23,23,yes,U.S. citizen or permanent resident,1,1,0,Students entering final undergraduate year after the summer,0,0,1,1,0,,1,Must enter the final undergraduate year or academic term after the summer program.,,,,,unknown,U.S. citizen or permanent resident; enrolled undergraduate entering the final year or semester/quarter of study after summer.,,reviewed
24,24,yes,See current program eligibility,,,0,Early undergraduates; designed for students not yet entering third year and with limited research experience,1,1,0,0,0,,1,,,1,1,,not_required,"Must have graduated high school, not yet entered the third undergraduate year, and be enrolled or planning to enroll in a two- or four-year institution; age 16 or older. International students are not accepted. Prior research is not required.",Age >= 16; applicants must not yet have entered their third undergraduate year.,reviewed
25,25,yes,International students not eligible for 2026 program,,,0,Undergraduates at 2- or 4-year colleges; see cycle rules,1,1,1,1,0,,1,,,1,1,,not_required,Incoming or current undergraduate enrolled or planning to enroll in a two- or four-year institution; age 18 or older. International students are not accepted. No prior research experience is required.,Age >= 18.,reviewed
26,26,yes,U.S. citizen or permanent resident,,,,Non-BU rising sophomores/juniors/seniors; some tracks emphasize rising juniors/seniors,,1,1,,0,3.0,1,,,,,,unknown,Non-Boston University undergraduates who will be rising juniors or rising seniors are eligible for the described SURF tracks.,Class-year booleans use application-time standing: rising junior corresponds to current sophomore and rising senior to current junior; BU students are ineligible.,reviewed
27,27,yes,NSF REU eligibility typically U.S. citizen/PR; verify current cycle,1,1,0,Undergraduate; non-BU students,,,,,,,1,,,,,,unknown,Non-Boston University undergraduate students; U.S. citizen or permanent resident.,"Boston University students are ineligible; official page does not state hard class-year, GPA, or prior-research requirements.",reviewed
28,28,yes,U.S. citizen or permanent resident,1,1,0,STEM majors at 2- and 4-year colleges; non-BU students,0,1,1,1,0,,1,Must not graduate before December of the program year.,,1,1,,not_required,U.S. citizen or permanent resident; STEM major at a two- or four-year college; currently enrolled undergraduate who has completed at least the first year and will not graduate before December of the program year. Boston University undergraduates are ineligible.,BU undergraduates are ineligible; full 10-week participation required.,reviewed
29,29,yes,U.S. citizen or permanent resident,1,1,0,Four-year college; sophomore/junior/non-graduating senior,0,1,1,1,0,3.2,1,Must return in fall 2026 to continue undergraduate studies,Enrollment in a four-year U.S. college or university including Puerto Rico and U.S. territories,0,1,,preferred,U.S. citizen or permanent resident; enrolled at a four-year institution; sophomore junior or returning non-graduating senior; minimum 3.2 GPA; freshmen and community-college students ineligible,Previous Amgen Scholars are ineligible,reviewed
30,30,yes,U.S. citizen or permanent resident,1,1,0,Four-year college; sophomore/junior/non-graduating senior,0,1,1,1,0,3.2,1,Must return in fall after SSRP to continue undergraduate studies,Enrollment in an accredited four-year U.S. college or university including Puerto Rico and U.S. territories,0,1,,unknown,U.S. citizen or permanent resident; enrolled at an accredited four-year institution; sophomore junior or returning non-graduating senior; minimum 3.2 GPA,Interest in pursuing a Ph.D. or in exceptional cases an M.D./Ph.D.,reviewed
31,31,yes,U.S. citizen or permanent resident,1,1,0,Four-year college; sophomore/junior/non-graduating senior,0,1,1,1,0,3.2,1,Must return in fall 2026 to continue undergraduate studies,Enrollment in an accredited four-year U.S. college or university including Puerto Rico and U.S. territories,0,1,,not_required,U.S. citizen or permanent resident; enrolled at an accredited four-year institution; sophomore junior or returning non-graduating senior; minimum 3.2 GPA,Interest in pursuing a Ph.D. or M.D./Ph.D. in biotechnology or related biomedical sciences,reviewed
32,32,yes,Primarily U.S. citizens/permanent residents; exceptions may require outside funding,1,1,,Undergraduates; see project-specific eligibility,1,1,1,1,,,,,,1,1,,not_required,"Open to undergraduates at two- and four-year institutions; core funding is primarily for U.S. citizens and permanent residents. The official FAQ describes limited, funding-dependent exceptions for some international students and graduates. Significant prior ecological research is not required, though individual projects may add requirements.",International and post-graduation participation is funding-dependent and uncommon; project-specific requirements and full-program availability apply.,reviewed
33,33,yes,Foreign students may be eligible if studying in the U.S.; verify current cycle,1,1,1,Undergraduates; graduating seniors may be eligible,1,1,1,1,1,,0,"For 2026, recent graduates with a bachelor's degree received no earlier than December 2025 were eligible.",,0,1,,not_required,Students enrolled in or just completing a bachelor's degree; recent graduates whose degree falls within the cycle's stated window are eligible. International students are eligible only when studying in the United States; foreign students at foreign institutions are not eligible. Minimum age 18.,International applicants must study in the U.S.; age >= 18; strong mathematics background expected.,reviewed
34,34,yes,U.S. citizen or permanent resident,1,1,0,Undergraduates; current REU eligibility rules apply,1,1,1,1,0,,1,Must not graduate before the end of the REU.,,,,,not_required,"U.S. citizen or permanent resident; active undergraduate at a U.S. or foreign university; must not graduate before the end of the program. The program primarily admits juniors, some exceptional sophomores, and does not usually admit first-years.",Junior/sophomore/first-year language is selection preference rather than a hard exclusion; no other job or summer-class commitment allowed.,reviewed
35,35,yes,U.S. citizen or permanent resident,1,1,0,Undergraduates enrolled at U.S. institutions; see current cycle,1,1,1,1,0,,1,,,,,1,unknown,U.S. citizen or permanent resident currently enrolled in an undergraduate degree program at a U.S. college or university.,,reviewed
36,36,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
37,37,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
38,38,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
39,39,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
40,40,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
41,41,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
42,42,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
43,43,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
44,44,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
45,45,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
46,46,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
47,47,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
48,48,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
49,49,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
50,50,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
51,51,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
52,52,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
53,53,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
54,54,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
55,55,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
56,56,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
57,57,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
58,58,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
59,59,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
60,60,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
61,61,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
62,62,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
63,63,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
64,64,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
65,65,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
66,66,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
67,67,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
68,68,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
69,69,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
70,70,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
71,71,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
72,72,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
73,73,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
74,74,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
75,75,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
76,76,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
77,77,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
78,78,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
79,79,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
80,80,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
81,81,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
82,82,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
83,83,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
84,84,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
85,85,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
86,86,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
87,87,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
88,88,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
89,89,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
90,90,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
91,91,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
92,92,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
93,93,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
94,94,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
95,95,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
96,96,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
97,97,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
98,98,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
99,99,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
100,100,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
101,101,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
102,102,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
103,103,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
104,104,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
105,105,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
106,106,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
107,107,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
108,108,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
109,109,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
110,110,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
111,111,unknown,,1,1,0,,,,,,,,,,,,,,unknown,NSF award metadata indicates an REU/Site program. Host-level eligibility and application details require host-page evidence when available.,,reviewed
