verification_id,opportunity_id,cycle_id,source_id,date_checked,verification_status,fields_supported,conflict_notes,checked_by,evidence_hash,retrieved_at
27,9,9,3,2026-09-02,verified,"[""eligibility_rules.citizenship_international"", ""eligibility_rules.citizenship_permanent_resident"", ""eligibility_rules.citizenship_rule_text"", ""eligibility_rules.citizenship_us_citizen"", ""eligibility_rules.degree_seeking_required"", ""eligibility_rules.eligible_years_text"", ""eligibility_rules.enrolled_required"", ""eligibility_rules.external_applicants_status"", ""eligibility_rules.first_year_eligible"", ""eligibility_rules.four_year_institution_eligible"", ""eligibility_rules.graduating_senior_eligible"", ""eligibility_rules.graduation_rule_text"", ""eligibility_rules.institution_type_rule_text"", ""eligibility_rules.junior_eligible"", ""eligibility_rules.min_gpa"", ""eligibility_rules.other_rule_text"", ""eligibility_rules.parse_status"", ""eligibility_rules.prior_research_status"", ""eligibility_rules.raw_eligibility_text"", ""eligibility_rules.senior_eligible"", ""eligibility_rules.sophomore_eligible"", ""eligibility_rules.two_year_institution_eligible""]",,OpenAI Codex; official program source,,
25,9,9,1,2026-08-31,partially_verified,"[""Program_ID"", ""Program_Name"", ""Host_Institution"", ""Network_Source"", ""Program_Type"", ""Primary_Field"", ""Field_Tags"", ""City"", ""State"", ""Country"", ""Location_Scope"", ""Format"", ""External_Applicants"", ""Citizenship"", ""Eligible_Years"", ""Min_GPA"", ""Duration_Weeks"", ""Program_Start"", ""Program_End"", ""Application_Open"", ""Application_Deadline"", ""Deadline_Text"", ""Cycle_Year"", ""Status"", ""Stipend_Total_USD"", ""Housing_Included"", ""Housing_Details"", ""Meals_Included"", ""Meals_Details"", ""Travel_Included"", ""Travel_Details"", ""Academic_Credit"", ""Program_URL"", ""Last_Verified"", ""Data_Confidence"", ""Notes"", ""Eligibility_Parse_Status"", ""Citizenship_US_Citizen"", ""Citizenship_Permanent_Resident"", ""Citizenship_International"", ""First_Year_Eligible"", ""Sophomore_Eligible"", ""Junior_Eligible"", ""Senior_Eligible"", ""Graduating_Senior_Eligible"", ""Enrolled_Required"", ""Graduation_Rule_Text"", ""Degree_Seeking_Required"", ""Prior_Research_Status"", ""Raw_Eligibility_Text"", ""Other_Rule_Text"", ""Eligibility_Source_URL"", ""Eligibility_Checked_On"", ""Eligibility_Checked_By""]",,seed_dataset,,
26,9,9,2,2026-08-31,partially_verified,"[""Application_URL""]",,seed_dataset,,
30,10,10,3,2026-09-02,verified,"[""eligibility_rules.citizenship_international"", ""eligibility_rules.citizenship_permanent_resident"", ""eligibility_rules.citizenship_rule_text"", ""eligibility_rules.citizenship_us_citizen"", ""eligibility_rules.degree_seeking_required"", ""eligibility_rules.eligible_years_text"", ""eligibility_rules.enrolled_required"", ""eligibility_rules.external_applicants_status"", ""eligibility_rules.first_year_eligible"", ""eligibility_rules.four_year_institution_eligible"", ""eligibility_rules.graduating_senior_eligible"", ""eligibility_rules.graduation_rule_text"", ""eligibility_rules.institution_type_rule_text"", ""eligibility_rules.junior_eligible"", ""eligibility_rules.min_gpa"", ""eligibility_rules.other_rule_text"", ""eligibility_rules.parse_status"", ""eligibility_rules.prior_research_status"", ""eligibility_rules.raw_eligibility_text"", ""eligibility_rules.senior_eligible"", ""eligibility_rules.sophomore_eligible"", ""eligibility_rules.two_year_institution_eligible""]",,OpenAI Codex; official program source,,
28,10,10,1,2026-08-31,partially_verified,"[""Program_ID"", ""Program_Name"", ""Host_Institution"", ""Network_Source"", ""Program_Type"", ""Primary_Field"", ""Field_Tags"", ""City"", ""State"", ""Country"", ""Location_Scope"", ""Format"", ""External_Applicants"", ""Citizenship"", ""Eligible_Years"", ""Min_GPA"", ""Duration_Weeks"", ""Program_Start"", ""Program_End"", ""Application_Open"", ""Application_Deadline"", ""Deadline_Text"", ""Cycle_Year"", ""Status"", ""Stipend_Total_USD"", ""Housing_Included"", ""Housing_Details"", ""Meals_Included"", ""Meals_Details"", ""Travel_Included"", ""Travel_Details"", ""Academic_Credit"", ""Program_URL"", ""Last_Verified"", ""Data_Confidence"", ""Notes"", ""Eligibility_Parse_Status"", ""Citizenship_US_Citizen"", ""Citizenship_Permanent_Resident"", ""Citizenship_International"", ""First_Year_Eligible"", ""Sophomore_Eligible"", ""Junior_Eligible"", ""Senior_Eligible"", ""Graduating_Senior_Eligible"", ""Enrolled_Required"", ""Graduation_Rule_Text"", ""Degree_Seeking_Required"", ""Prior_Research_Status"", ""Raw_Eligibility_Text"", ""Other_Rule_Text"", ""Eligibility_Source_URL"", ""Eligibility_Checked_On"", ""Eligibility_Checked_By""]",,seed_dataset,,
29,10,10,2,2026-08-31,partially_verified,"[""Application_URL""]",,seed_dataset,,
33,11,11,3,2026-09-02,verified,"[""eligibility_rules.citizenship_international"", ""eligibility_rules.citizenship_permanent_resident"", ""eligibility_rules.citizenship_rule_text"", ""eligibility_rules.citizenship_us_citizen"", ""eligibility_rules.degree_seeking_required"", ""eligibility_rules.eligible_years_text"", ""eligibility_rules.enrolled_required"", ""eligibility_rules.external_applicants_status"", ""eligibility_rules.first_year_eligible"", ""eligibility_rules.four_year_institution_eligible"", ""eligibility_rules.graduating_senior_eligible"", ""eligibility_rules.graduation_rule_text"", ""eligibility_rules.institution_type_rule_text"", ""eligibility_rules.junior_eligible"", ""eligibility_rules.min_gpa"", ""eligibility_rules.other_rule_text"", ""eligibility_rules.parse_status"", ""eligibility_rules.prior_research_status"", ""eligibility_rules.raw_eligibility_text"", ""eligibility_rules.senior_eligible"", ""eligibility_rules.sophomore_eligible"", ""eligibility_rules.two_year_institution_eligible""]",,OpenAI Codex; official program source,,
31,11,11,1,2026-08-31,partially_verified,"[""Program_ID"", ""Program_Name"", ""Host_Institution"", ""Network_Source"", ""Program_Type"", ""Primary_Field"", ""Field_Tags"", ""City"", ""State"", ""Country"", ""Location_Scope"", ""Format"", ""External_Applicants"", ""Citizenship"", ""Eligible_Years"", ""Min_GPA"", ""Duration_Weeks"", ""Program_Start"", ""Program_End"", ""Application_Open"", ""Application_Deadline"", ""Deadline_Text"", ""Cycle_Year"", ""Status"", ""Stipend_Total_USD"", ""Housing_Included"", ""Housing_Details"", ""Meals_Included"", ""Meals_Details"", ""Travel_Included"", ""Travel_Details"", ""Academic_Credit"", ""Program_URL"", ""Last_Verified"", ""Data_Confidence"", ""Notes"", ""Eligibility_Parse_Status"", ""Citizenship_US_Citizen"", ""Citizenship_Permanent_Resident"", ""Citizenship_International"", ""First_Year_Eligible"", ""Sophomore_Eligible"", ""Junior_Eligible"", ""Senior_Eligible"", ""Graduating_Senior_Eligible"", ""Enrolled_Required"", ""Graduation_Rule_Text"", ""Degree_Seeking_Required"", ""Prior_Research_Status"", ""Raw_Eligibility_Text"", ""Other_Rule_Text"", ""Eligibility_Source_URL"", ""Eligibility_Checked_On"", ""Eligibility_Checked_By""]",,seed_dataset,,
32,11,11,2,2026-08-31,partially_verified,"[""Application_URL""]",,seed_dataset,,
36,12,12,3,2026-09-02,verified,"[""eligibility_rules.citizenship_international"", ""eligibility_rules.citizenship_permanent_resident"", ""eligibility_rules.citizenship_rule_text"", ""eligibility_rules.citizenship_us_citizen"", ""eligibility_rules.degree_seeking_required"", ""eligibility_rules.eligible_years_text"", ""eligibility_rules.enrolled_required"", ""eligibility_rules.external_applicants_status"", ""eligibility_rules.first_year_eligible"", ""eligibility_rules.four_year_institution_eligible"", ""eligibility_rules.graduating_senior_eligible"", ""eligibility_rules.graduation_rule_text"", ""eligibility_rules.institution_type_rule_text"", ""eligibility_rules.junior_eligible"", ""eligibility_rules.min_gpa"", ""eligibility_rules.other_rule_text"", ""eligibility_rules.parse_status"", ""eligibility_rules.prior_research_status"", ""eligibility_rules.raw_eligibility_text"", ""eligibility_rules.senior_eligible"", ""eligibility_rules.sophomore_eligible"", ""eligibility_rules.two_year_institution_eligible""]",,OpenAI Codex; official program source,,
34,12,12,1,2026-08-31,partially_verified,"[""Program_ID"", ""Program_Name"", ""Host_Institution"", ""Network_Source"", ""Program_Type"", ""Primary_Field"", ""Field_Tags"", ""City"", ""State"", ""Country"", ""Location_Scope"", ""Format"", ""External_Applicants"", ""Citizenship"", ""Eligible_Years"", ""Min_GPA"", ""Application_Open"", ""Application_Deadline"", ""Deadline_Text"", ""Cycle_Year"", ""Status"", ""Housing_Included"", ""Housing_Details"", ""Meals_Included"", ""Meals_Details"", ""Travel_Included"", ""Travel_Details"", ""Academic_Credit"", ""Program_URL"", ""Last_Verified"", ""Data_Confidence"", ""Notes"", ""Eligibility_Parse_Status"", ""Citizenship_US_Citizen"", ""Citizenship_Permanent_Resident"", ""Citizenship_International"", ""First_Year_Eligible"", ""Sophomore_Eligible"", ""Junior_Eligible"", ""Senior_Eligible"", ""Graduating_Senior_Eligible"", ""Enrolled_Required"", ""Graduation_Rule_Text"", ""Degree_Seeking_Required"", ""Prior_Research_Status"", ""Raw_Eligibility_Text"", ""Other_Rule_Text"", ""Eligibility_Source_URL"", ""Eligibility_Checked_On"", ""Eligibility_Checked_By""]",,seed_dataset,,
35,12,12,2,2026-08-31,partially_verified,"[""Application_URL""]",,seed_dataset,,
